Austin Seferian-Jenkins,ten,5,26,0
Marquess Wilson,chi,2,26,0
Gabe Johnson,cin,3,25,0
Troy Niklas,ari,3,24,0
Will Phillip,dal,3,24,0
Le'Veon Bell,gb,5,24,1
Deron Jackson,cin,3,23,1
Corey Brown,car,2,21,0
Travis Kelce,kc,2,21,0
Morris Greer,no,1,20,0
Chance Fulton,stl,1,19,0
Nikita Whitlock,nyg,4,19,0
Deontae French,den,1,19,0
Carlos Hyde,det,6,18,0
LaMike James,car,1,18,0
Trey Burton,chi,3,17,0
Christine Michael,was,4,17,0
Dejuan Parks,min,1,17,0
Conner Scott,nyg,2,16,0
Denard Robinson,jac,2,16,0
Eddie Lacy,gb,3,16,1
Gordon Samuels,ne,1,16,1
Michael Rodriguez,jac,2,16,0
Alfy Boykin,ten,2,16,0
Jeremy Langford,chi,4,15,0
Quandre Phillip,tb,3,15,0
Aaron Phillip,ne,1,13,0
Andre Ellington,ari,4,13,0
MyCole Pruitt,tb,1,13,0
Thomas Rawls,sea,1,12,0
Charles Sims III,ne,1,12,0
B.J. Humphrey,stl,1,11,1
Dri Archer,cin,1,11,0
J.J. Nelson,ari,1,11,0
Matt Jones,oak,1,11,0
Josh Gaitor,tb,2,10,0
Johnathan Fender,car,2,10,0
Jamison Crowder,was,1,10,0
Kurtis Patrick,jac,1,9,1
Kyle Rudolph,chi,2,9,0
Tyrell Williams,sd,1,9,0
Derel Barber,nyg,1,9,0
A.C. Leonard,nyj,1,9,0
Denard Bridges,car,1,8,0
O.C. Reid,kc,3,8,0
Morgan Taylor,min,1,8,1
Josh Pendleton,sf,2,8,0
Matt Briscoe,den,2,7,0
Isaiah Crowell,cle,1,7,0
Nate Gandy,pit,1,7,0
Michael Bowers,det,1,6,1
Jared Taylor,atl,2,6,1
Zach Ertz,phi,2,6,0
Dawson Powe,nyj,2,6,0
Darrel Young,phi,2,6,2
Josh Hall,pit,1,6,0
Matthew Tucker,den,1,6,0
Kyle Juszczyk,bal,2,6,0
Deron McDonald,min,1,6,0
Tyrone Broussard,tb,2,5,0
Zac Stacy,nyj,1,5,0
Ty Montgomery,gb,2,5,0
Rhett Ellison,min,1,4,0
Tank Mason,oak,1,4,0
Derius Bowles,ind,1,4,1
Dion Gaitor,stl,1,3,0
C.J. Fiedorowicz,hou,4,3,0
Gordon Gandy,buf,3,3,0
Pearson Grayson,car,1,2,0
C.J. Anderson,den,2,1,0
Colt Lyerla,bal,1,1,1
Andrew Quarless,det,1,1,1
Keith Lee,chi,1,1,0
Tyler Scott,oak,1,0,0
Michael Burton,cin,1,0,0
Dwayne Allen,ind,1,0,0
Johnnie Quick,atl,1,0,0
Dion Sims,was,1,0,0
Curtis Cook,sd,1,0,0
Javorius Allen,bal,4,0,0
Keiwone Dean,car,1,0,0
Will Johnson,pit,1,0,0
Tevin Coleman,hou,1,0,0
Wade Farmer,oak,2,-1,0
